POOPSH03,09 Carex aquatilis,Aug 26/15,14:00,69.177933,-104.8089,69.1783,-104.810133,-117,-68,Goose/Duck,26,11,28,8,25,14,9,20,41,24,21,6,8,7,10,8,13,8,1,3,5,6,10,6,11,9,12,6,6,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect,Ecotype,Datee,Time,Start_Lat,Start_Long,End_Lat,End_Long,Start_Elevation (m),End_Elevation (m),Guild,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
POOPSHO4,01 Dryas integrifolia - Saxifraga oppositifolia; Carex rupestris,Aug26/15,15:00,69.1724,-104.84915,69.172583,-104.848633,,,Goose/Duck,0,1,1,2,8,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,5,0,0,0,0
,,,,,,,,,,Arctic hare,0,0,0,57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Ecotype,Date,Time,Start_Lat,Start_Long,End_Lat,End_Long,Start_Elevation (m),End_Elevation (m),Guild,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
POOPSHO5,02 Saxifraga tricuspidata - Oxytropis arctobia,Aug26/15,15:45,69.17205,-104.850067,69.171733,-104.850083,,,Goose/Duck,0,0,2,5,0,0,1,0,0,0,1,1,0,1,2,0,0,0,19,0,0,1,0,0,4,0,0,1,0,0
,,,,,,,,,,Ptarmigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,,,,,,,,,,Rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Ecotype,Date,Time,Start_Lat,Start_Long,End_Lat,End_Long,Start_Elevation (m),End_Elevation (m),Guild,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
POOPSHO6,01 Dryas integrifolia - Saxifraga oppositifolia; Carex rupestris,Aug26/15,16:05,69.137683,-104.953683,69.137767,-104.952933,,,Goose/Duck,16,0,0,2,4,1,0,2,2,0,0,4,1,10,9,44,0,1,3,1,1,0,0,0,1,0,3,2,0,0
,,,,,,,,,,Arctic Hare,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,Ptarmigan,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
